epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,839.81,1.64098,2.69087,1.42997,0.46078,0.39934,0.35565,0.15829,1.71433,9.25927,1.40818,0.00332579,0.00332579,0.00332579
2,1064.58,1.6596,1.98947,1.39308,0.49091,0.40433,0.38326,0.16822,1.68668,3.52886,1.35556,0.00652727,0.00652727,0.00652727
3,1284.63,1.7659,1.96946,1.46519,0.31627,0.30608,0.22993,0.09044,2.05668,8.95126,1.62701,0.00959676,0.00959676,0.00959676
4,1506.5,1.81622,1.91848,1.50944,0.4081,0.34021,0.29053,0.11946,2.00446,4.99603,1.6959,0.009406,0.009406,0.009406
5,1729.71,1.75686,1.81363,1.47393,0.48737,0.41828,0.41224,0.1908,1.69445,13.3207,1.38566,0.009208,0.009208,0.009208
6,1955.05,1.71195,1.71572,1.44792,0.55928,0.45295,0.46633,0.22542,1.62962,4.62267,1.31514,0.00901,0.00901,0.00901
7,2181.44,1.6665,1.64225,1.41511,0.59455,0.48434,0.51127,0.25189,1.60842,3.83686,1.31253,0.008812,0.008812,0.008812
8,2406.92,1.6362,1.59644,1.40037,0.56092,0.44528,0.47261,0.22386,1.62927,2.72755,1.30882,0.008614,0.008614,0.008614
9,2625.57,1.62077,1.56366,1.38922,0.60292,0.52183,0.54562,0.27824,1.51381,4.20622,1.26343,0.008416,0.008416,0.008416
10,2845.93,1.60599,1.53324,1.37943,0.61333,0.50402,0.54068,0.27581,1.50494,2.92675,1.23161,0.008218,0.008218,0.008218
11,3068.31,1.58266,1.49378,1.36547,0.6117,0.5158,0.54977,0.27646,1.51758,4.37731,1.2418,0.00802,0.00802,0.00802
12,3289.35,1.56324,1.45055,1.35436,0.64043,0.52214,0.56993,0.29154,1.50188,2.37428,1.22806,0.007822,0.007822,0.007822
13,3514.01,1.54497,1.42022,1.33628,0.62952,0.53404,0.56956,0.2868,1.52596,2.68216,1.24147,0.007624,0.007624,0.007624
14,3742.09,1.52975,1.39948,1.33403,0.59871,0.55224,0.56069,0.28749,1.49601,3.87697,1.23673,0.007426,0.007426,0.007426
15,3969.2,1.5177,1.39175,1.31984,0.65337,0.55836,0.60262,0.31765,1.44148,2.00992,1.18716,0.007228,0.007228,0.007228
16,4196.46,1.50782,1.36303,1.31358,0.65967,0.54912,0.60366,0.32345,1.44285,2.08408,1.18079,0.00703,0.00703,0.00703
17,4423.54,1.50113,1.34465,1.31341,0.69333,0.57737,0.63432,0.33619,1.42996,2.13351,1.20228,0.006832,0.006832,0.006832
18,4650.29,1.48496,1.32247,1.30498,0.66943,0.56235,0.62369,0.33475,1.39519,3.12469,1.16602,0.006634,0.006634,0.006634
19,4878.68,1.49094,1.31478,1.30409,0.67059,0.58741,0.63919,0.34529,1.3858,2.16116,1.15772,0.006436,0.006436,0.006436
20,5107.46,1.47854,1.30874,1.29428,0.6705,0.60695,0.65165,0.35439,1.37053,2.14562,1.14839,0.006238,0.006238,0.006238
21,5339.75,1.47093,1.29623,1.29501,0.66968,0.59293,0.6455,0.35537,1.37913,1.94166,1.14926,0.00604,0.00604,0.00604
22,5573.37,1.46904,1.28054,1.29051,0.66963,0.60598,0.65076,0.36112,1.36268,1.52379,1.14699,0.005842,0.005842,0.005842
23,5800.71,1.44933,1.2616,1.27881,0.6982,0.60599,0.66079,0.3644,1.34269,1.92828,1.12288,0.005644,0.005644,0.005644
24,6029.64,1.44328,1.26402,1.27318,0.69439,0.60563,0.66496,0.36519,1.34564,1.79221,1.12528,0.005446,0.005446,0.005446
